gene,pathway_primary,pathway_secondary,mechanistic_role,why_relevant_to_T2D,support_strength,claim_type,suggested_citation_key,n_project_files_with_gene,n_pubmed_records,mechanistic_role_short,interpretation_short
INSR,Insulin signalling,Glucose metabolism,Insulin receptor; central mediator of insulin signalling and glucose homeostasis.,Supports the insulin-signalling component of T2D biology.,strong,known mechanism / diabetes gene,"odawara1989insr, ncbi_insr",94,13,Insulin receptor; central mediator of insulin signalling and glucose homeostasis.,Supports the insulin-signalling component of T2D biology.
DPP4,Glucose metabolism,Incretin signalling / diabetes pharmacology,Dipeptidyl peptidase-4; regulates incretin hormones and is an established diabetes drug target.,Supports glucose regulation and pharmacological relevance.,strong,diabetes drug target / glucose regulation,deacon2019dpp4,84,13,Dipeptidyl peptidase-4; regulates incretin hormones and is an established diabetes drug target.,Supports glucose regulation and pharmacological relevance.
NEUROD1,Beta-cell function,Pancreatic development,Beta-cell transcription factor involved in endocrine pancreas development and insulin regulation.,Supports beta-cell differentiation/function interpretation.,strong,beta-cell transcription factor,"naya1997neurod1, malecki1999neurod1",80,14,Beta-cell transcription factor involved in endocrine pancreas development and insulin regulation.,Supports beta-cell differentiation/function interpretation.
PDX1,Beta-cell function,Pancreatic development,Pancreatic transcription factor involved in beta-cell development and insulin gene regulation.,Supports pancreatic beta-cell development and insulin secretion biology.,strong,beta-cell transcription factor,"stoffers1997pdx1, huang2021beta_cell_review",79,11,Pancreatic transcription factor involved in beta-cell development and insulin gene regulation.,Supports pancreatic beta-cell development and insulin secretion biology.
MTNR1B,Beta-cell function,T2D GWAS / insulin secretion,Melatonin receptor locus associated with fasting glucose and T2D risk.,Supports genetic-risk and insulin secretion interpretation.,strong,T2D genetic association,lyssenko2009mtnr1b,66,13,Melatonin receptor locus associated with fasting glucose and T2D risk.,Supports genetic-risk and insulin secretion interpretation.
KCNJ11,Beta-cell function,Insulin secretion,KATP channel subunit involved in glucose-stimulated insulin secretion.,Supports beta-cell ion-channel and insulin secretion biology.,strong,diabetes gene / insulin secretion,gloyn2004kcnj11,65,15,KATP channel subunit involved in glucose-stimulated insulin secretion.,Supports beta-cell ion-channel and insulin secretion biology.
ABCC8,Beta-cell function,Insulin secretion,KATP channel regulatory subunit; involved in insulin secretion and monogenic diabetes/hyperinsulinism.,Supports beta-cell ion-channel and insulin secretion biology.,strong,diabetes gene / insulin secretion,ashcroft2006katp,63,14,KATP channel regulatory subunit; involved in insulin secretion and monogenic diabetes/hyperinsulinism.,Supports beta-cell ion-channel and insulin secretion biology.
IGF2BP2,Beta-cell function,T2D GWAS / genetic risk,RNA-binding protein; human variants are associated with increased T2D risk and beta-cell biology.,Supports genetic-risk and beta-cell regulation interpretation.,moderate_to_strong,T2D genetic association,"sladek2007gwas, regue2021igf2bp2",83,14,RNA-binding protein; human variants are associated with increased T2D risk and beta-cell biology.,Supports genetic-risk and beta-cell regulation interpretation.
HHEX,Beta-cell function,T2D GWAS / genetic risk,T2D-associated locus implicated in beta-cell function and insulin secretion biology.,Supports genetic-risk and beta-cell interpretation.,moderate_to_strong,T2D genetic association,"sladek2007gwas, florez2008beta_cell_loci",79,14,T2D-associated locus implicated in beta-cell function and insulin secretion biology.,Supports genetic-risk and beta-cell interpretation.
SLC5A1,Glucose metabolism,Glucose transport,Sodium-glucose cotransporter involved in intestinal glucose absorption.,Supports glucose transport/metabolism interpretation.,moderate,glucose transport biology,wright2011sglt,89,10,Sodium-glucose cotransporter involved in intestinal glucose absorption.,Supports glucose transport/metabolism interpretation.
CACNA1D,Beta-cell function,Calcium signalling / insulin secretion,Voltage-dependent calcium channel subunit; calcium influx is central to insulin secretion.,Supports beta-cell stimulus-secretion coupling.,moderate,calcium signalling / beta-cell function,schulla2003cacna1d,83,10,Voltage-dependent calcium channel subunit; calcium influx is central to insulin secretion.,Supports beta-cell stimulus-secretion coupling.
GAD1,Beta-cell function,GABA / islet biology,Glutamate decarboxylase; linked to islet biology and diabetes-related autoimmune/islet contexts.,"Supports islet biology interpretation, but T2D-specific interpretation should be cautious.",moderate,islet biology / cautious T2D relevance,taneera2012islet_gene_expression,78,8,Glutamate decarboxylase; linked to islet biology and diabetes-related autoimmune/islet contexts.,"Supports islet biology interpretation, but T2D-specific interpretation should be cautious."
NDUFA13,Mitochondrial function,Oxidative phosphorylation,Mitochondrial complex I subunit with apoptosis/mitochondrial roles.,Supports mitochondrial/OXPHOS interpretation at pathway level.,hypothesis_generating,mitochondrial complex I / pathway-level support,ma2011mitochondrial_beta_cell,68,11,Mitochondrial complex I subunit with apoptosis/mitochondrial roles.,Supports mitochondrial/OXPHOS interpretation at pathway level.
NDUFV1,Mitochondrial function,Oxidative phosphorylation,Mitochondrial complex I flavoprotein subunit.,Supports mitochondrial complex I/OXPHOS biology.,hypothesis_generating,mitochondrial complex I / pathway-level support,"ma2011mitochondrial_beta_cell, hong2014ndufv1",86,8,Mitochondrial complex I flavoprotein subunit.,Supports mitochondrial complex I/OXPHOS biology.
NDUFA7,Mitochondrial function,Oxidative phosphorylation,Mitochondrial complex I subunit.,Part of the mitochondrial/OXPHOS moved-out pattern; interpretation should remain exploratory.,hypothesis_generating,mitochondrial complex I / moved-out exploratory signal,ma2011mitochondrial_beta_cell,83,6,Mitochondrial complex I subunit.,Part of the mitochondrial/OXPHOS moved-out pattern; interpretation should remain exploratory.
NDUFB3,Mitochondrial function,Oxidative phosphorylation,Mitochondrial complex I subunit.,Part of the mitochondrial/OXPHOS moved-out pattern; interpretation should remain exploratory.,hypothesis_generating,mitochondrial complex I / moved-out exploratory signal,ma2011mitochondrial_beta_cell,80,6,Mitochondrial complex I subunit.,Part of the mitochondrial/OXPHOS moved-out pattern; interpretation should remain exploratory.
NDUFB2,Mitochondrial function,Oxidative phosphorylation,Mitochondrial complex I subunit.,Supports mitochondrial/OXPHOS interpretation among top-ranked candidates.,hypothesis_generating,mitochondrial complex I / pathway-level support,ma2011mitochondrial_beta_cell,79,6,Mitochondrial complex I subunit.,Supports mitochondrial/OXPHOS interpretation among top-ranked candidates.
NDUFB1,Mitochondrial function,Oxidative phosphorylation,Mitochondrial complex I subunit.,Part of the mitochondrial/OXPHOS moved-out pattern; interpretation should remain exploratory.,hypothesis_generating,mitochondrial complex I / moved-out exploratory signal,ma2011mitochondrial_beta_cell,75,5,Mitochondrial complex I subunit.,Part of the mitochondrial/OXPHOS moved-out pattern; interpretation should remain exploratory.
SCD5,Lipid metabolism,Metabolic regulation,Stearoyl-CoA desaturase family member; lipid metabolism relevance.,"Supports broader metabolic regulation, but T2D interpretation should be cautious.",hypothesis_generating,lipid metabolism / exploratory,lipid_metabolism_t2d_review,83,3,Stearoyl-CoA desaturase family member; lipid metabolism relevance.,"Supports broader metabolic regulation, but T2D interpretation should be cautious."
