gene,pathway_primary,pathway_secondary,mechanistic_role,why_relevant_to_T2D,support_strength,claim_type,suggested_citation_key,n_project_files_with_gene,models_or_sources_detected,source_file_examples
INSR,Insulin signalling,Glucose metabolism,Insulin receptor; central mediator of insulin signalling and glucose homeostasis.,Supports the insulin-signalling component of T2D biology.,strong,known mechanism / diabetes gene,"odawara1989insr, ncbi_insr",94,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Genomic_only_K3K4Basic_top50_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv
PDX1,Beta-cell function,Pancreatic development,Pancreatic transcription factor involved in beta-cell development and insulin gene regulation.,Supports pancreatic beta-cell development and insulin secretion biology.,strong,beta-cell transcription factor,"stoffers1997pdx1, huang2021beta_cell_review",79,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv; Multimodal_DNABERT2_top50_genes.csv
NEUROD1,Beta-cell function,Pancreatic development,Beta-cell transcription factor involved in endocrine pancreas development and insulin regulation.,Supports beta-cell differentiation/function interpretation.,strong,beta-cell transcription factor,"naya1997neurod1, malecki1999neurod1",80,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv; Multimodal_DNABERT2_top50_genes.csv; Multimodal_handcrafted_TP_genes.csv
HHEX,Beta-cell function,T2D GWAS / genetic risk,T2D-associated locus implicated in beta-cell function and insulin secretion biology.,Supports genetic-risk and beta-cell interpretation.,moderate_to_strong,T2D genetic association,"sladek2007gwas, florez2008beta_cell_loci",79,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv; Multimodal_DNABERT2_top50_genes.csv
IGF2BP2,Beta-cell function,T2D GWAS / genetic risk,RNA-binding protein; human variants are associated with increased T2D risk and beta-cell biology.,Supports genetic-risk and beta-cell regulation interpretation.,moderate_to_strong,T2D genetic association,"sladek2007gwas, regue2021igf2bp2",83,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Genomic_only_K3K4Basic_top50_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv
DPP4,Glucose metabolism,Incretin signalling / diabetes pharmacology,Dipeptidyl peptidase-4; regulates incretin hormones and is an established diabetes drug target.,Supports glucose regulation and pharmacological relevance.,strong,diabetes drug target / glucose regulation,deacon2019dpp4,84,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Genomic_only_K3K4Basic_top50_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv
SLC5A1,Glucose metabolism,Glucose transport,Sodium-glucose cotransporter involved in intestinal glucose absorption.,Supports glucose transport/metabolism interpretation.,moderate,glucose transport biology,wright2011sglt,89,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv; Multimodal_handcrafted_TP_genes.csv
CACNA1D,Beta-cell function,Calcium signalling / insulin secretion,Voltage-dependent calcium channel subunit; calcium influx is central to insulin secretion.,Supports beta-cell stimulus-secretion coupling.,moderate,calcium signalling / beta-cell function,schulla2003cacna1d,83,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Genomic_only_K3K4Basic_top50_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv
KCNJ11,Beta-cell function,Insulin secretion,KATP channel subunit involved in glucose-stimulated insulin secretion.,Supports beta-cell ion-channel and insulin secretion biology.,strong,diabetes gene / insulin secretion,gloyn2004kcnj11,65,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_FN_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv; Multimodal_handcrafted_TP_genes.csv; Multimodal_handcrafted_top100_genes.csv
ABCC8,Beta-cell function,Insulin secretion,KATP channel regulatory subunit; involved in insulin secretion and monogenic diabetes/hyperinsulinism.,Supports beta-cell ion-channel and insulin secretion biology.,strong,diabetes gene / insulin secretion,ashcroft2006katp,63,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_FN_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_handcrafted_TP_genes.csv; Protein_only_ProtBERT_SW_FN_genes.csv; phase8_all_ranked_predictions_Genomic_only_K3K4Basic.csv
