gene,pathway_primary,pathway_secondary,mechanistic_role,why_relevant_to_T2D,support_strength,claim_type,suggested_citation_key,n_project_files_with_gene,models_or_sources_detected,source_file_examples,n_pubmed_records,pubmed_top_titles,pubmed_top_pmids,support_strength_score,model_support_score,pubmed_support_score,manuscript_priority_score
INSR,Insulin signalling,Glucose metabolism,Insulin receptor; central mediator of insulin signalling and glucose homeostasis.,Supports the insulin-signalling component of T2D biology.,strong,known mechanism / diabetes gene,"odawara1989insr, ncbi_insr",94,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Genomic_only_K3K4Basic_top50_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv,13,Genetic Evidence for the Benefits and Risks of Glucose-Lowering Drugs on Cardiovascular-Kidney-Metabolic Syndrome: A Drug-Target Mendelian Randomization Study. | Microalgae-derived astaxanthin modulates the hormone receptor network associated with type 2 diabetes mellitus: An in-silico investigation supported by experimental literature. | Target Perturbation of Genetically Proxied Antidiabetic Drug Targets and Pneumonia Risk: A Mendelian Randomization Analysis.,42328113; 42247987; 42227366; 42216630; 42200339,3.0,1.0,1.0,5.0
DPP4,Glucose metabolism,Incretin signalling / diabetes pharmacology,Dipeptidyl peptidase-4; regulates incretin hormones and is an established diabetes drug target.,Supports glucose regulation and pharmacological relevance.,strong,diabetes drug target / glucose regulation,deacon2019dpp4,84,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Genomic_only_K3K4Basic_top50_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv,13,"Pharmacological mechanisms and clinical impacts of antidiabetic drugs on colorectal cancer risk: a systematic review. | Role of Evogliptin for Intra-Class Therapeutic Interchange in Patients With Type 2 Diabetes Mellitus: Subgroup Analysis From A Multi-Center, Prospective, Observational Study (REVISE Study). | Glucagon-Like Peptide-1 Receptor Agonists and Risk of Mental Health Disorders in Type 2 Diabetes: Active Comparator, New User Cohort Study.",42389271; 42383539; 42380063; 42368998; 42367540,3.0,1.0,1.0,5.0
NEUROD1,Beta-cell function,Pancreatic development,Beta-cell transcription factor involved in endocrine pancreas development and insulin regulation.,Supports beta-cell differentiation/function interpretation.,strong,beta-cell transcription factor,"naya1997neurod1, malecki1999neurod1",80,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv; Multimodal_DNABERT2_top50_genes.csv; Multimodal_handcrafted_TP_genes.csv,14,"A sulfated manno-glucuronan ameliorates β-cell dysfunction in type 2 diabetes by targeting ALDH1A3. | Correction: Exendin-4 ameliorates tau hyperphosphorylation and cognitive impairment in type 2 diabetes through acting on Wnt/β-catenin/NeuroD1 pathway. | Diverse and rare candidate MODY gene variants were identified in one-fifth of a Bangladeshi cohort with nonobese, nonautoimmune youth-onset diabetes.",42002316; 41913098; 41844744; 41772234; 41422049,3.0,1.0,1.0,5.0
PDX1,Beta-cell function,Pancreatic development,Pancreatic transcription factor involved in beta-cell development and insulin gene regulation.,Supports pancreatic beta-cell development and insulin secretion biology.,strong,beta-cell transcription factor,"stoffers1997pdx1, huang2021beta_cell_review",79,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv; Multimodal_DNABERT2_top50_genes.csv,11,A dish-to-biobank framework links β-cell nutrient-stress programs to genetic and dietary risk for Type 2 Diabetes. | eNAMPT induces alpha-cell mass expansion but impaired glucagon counter regulatory response. | Proteomic Analysis on Human Islets Suggests Nucleocytoplasmic Transport as a Mechanism of PERK Attenuation Effects in Diabetes.,42367913; 42271608; 42155730; 42032109; 42010891,3.0,1.0,1.0,5.0
MTNR1B,Beta-cell function,T2D GWAS / insulin secretion,Melatonin receptor locus associated with fasting glucose and T2D risk.,Supports genetic-risk and insulin secretion interpretation.,strong,T2D genetic association,lyssenko2009mtnr1b,66,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Multimodal_DNABERT2_FN_genes.csv; Multimodal_handcrafted_TP_genes.csv; Protein_only_ProtBERT_SW_FN_genes.csv,13,"Shared genetic architecture between psychiatric and insulin-related traits in the general population. | Melatonin Impairs Glucose Tolerance, First-Phase Insulin Secretion, and Insulin Feedback Inhibition; Interaction With MTNR1B Diabetes Risk Variant. | Multi-ancestry, trans-generational GWAS meta-analysis of gestational diabetes and glycaemic traits during pregnancy reveals limited evidence of pregnancy-specific genetic effects.",42375481; 42346809; 42225636; 42173832; 42139078,3.0,1.0,1.0,5.0
KCNJ11,Beta-cell function,Insulin secretion,KATP channel subunit involved in glucose-stimulated insulin secretion.,Supports beta-cell ion-channel and insulin secretion biology.,strong,diabetes gene / insulin secretion,gloyn2004kcnj11,65,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_FN_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv; Multimodal_handcrafted_TP_genes.csv; Multimodal_handcrafted_top100_genes.csv,15,Genomic Evidence on Antihypertensive Drug Targets and Oral Disease Outcomes. | Genetic Evidence for the Benefits and Risks of Glucose-Lowering Drugs on Cardiovascular-Kidney-Metabolic Syndrome: A Drug-Target Mendelian Randomization Study. | A modality-aware CRISPR actionability framework for functional prioritization of genome-wide significant type 2 diabetes loci.,42366644; 42328113; 42298143; 42227366; 41947234,3.0,1.0,1.0,5.0
ABCC8,Beta-cell function,Insulin secretion,KATP channel regulatory subunit; involved in insulin secretion and monogenic diabetes/hyperinsulinism.,Supports beta-cell ion-channel and insulin secretion biology.,strong,diabetes gene / insulin secretion,ashcroft2006katp,63,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_FN_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_handcrafted_TP_genes.csv; Protein_only_ProtBERT_SW_FN_genes.csv; phase8_all_ranked_predictions_Genomic_only_K3K4Basic.csv,14,"Genetic Evidence for the Benefits and Risks of Glucose-Lowering Drugs on Cardiovascular-Kidney-Metabolic Syndrome: A Drug-Target Mendelian Randomization Study. | Target Perturbation of Genetically Proxied Antidiabetic Drug Targets and Pneumonia Risk: A Mendelian Randomization Analysis. | Paradoxical glycemia in an adult with ABCC8 p.Arg1352His: a case of maturity-onset diabetes of the young, type 12.",42328113; 42227366; 42220599; 41996282; 41992156,3.0,1.0,1.0,5.0
IGF2BP2,Beta-cell function,T2D GWAS / genetic risk,RNA-binding protein; human variants are associated with increased T2D risk and beta-cell biology.,Supports genetic-risk and beta-cell regulation interpretation.,moderate_to_strong,T2D genetic association,"sladek2007gwas, regue2021igf2bp2",83,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Genomic_only_K3K4Basic_top50_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv,14,The tissue-specific effects of glucose-lowering drug targets on aging mediated through DNA methylation: a multi-omics genetic study. | The m6A Reader IGF2BP2 Regulates Schwann Cell Autophagy and Neurotrophin Expression via EGR1 in Diabetic Peripheral Neuropathy. | Function and regulatory mechanism of RNA-binding protein IGF2BP2 in obesity and cancers.,42163256; 42141912; 41915078; 41872653; 41692190,2.5,1.0,1.0,4.5
HHEX,Beta-cell function,T2D GWAS / genetic risk,T2D-associated locus implicated in beta-cell function and insulin secretion biology.,Supports genetic-risk and beta-cell interpretation.,moderate_to_strong,T2D genetic association,"sladek2007gwas, florez2008beta_cell_loci",79,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv; Multimodal_DNABERT2_top50_genes.csv,14,"Real-World Utility of GWAS-Based Diabetes Mellitus Panel Testing. | Cluster-specific genetic associations of CDKAL1, CDKN2A, CDKN2B, HHEX, KCNQ1, MTNR1B, PAX4, SLC30A8, TCF7L2, and UBE2E2 variants in new onset type 2 diabetes. | Type 2 Diabetes in Taiwan: Unmasking Influential Factors Through Advanced Predictive Modeling.",41516154; 41422334; 40463355; 39971135; 39555857,2.5,1.0,1.0,4.5
SLC5A1,Glucose metabolism,Glucose transport,Sodium-glucose cotransporter involved in intestinal glucose absorption.,Supports glucose transport/metabolism interpretation.,moderate,glucose transport biology,wright2011sglt,89,DNABERT2_multimodal; Handcrafted_multimodal; Protein_only,Genomic_only_K3K4Basic_TP_genes.csv; Genomic_only_K3K4Basic_top100_genes.csv; Multimodal_DNABERT2_TP_genes.csv; Multimodal_DNABERT2_top100_genes.csv; Multimodal_handcrafted_TP_genes.csv,10,"Curcumin and bisdemethoxycurcumin inhibit glucose and enhance fructose absorption in differentiated Caco-2 cells, while dibenzoylmethane inhibits glucose absorption. | LASSBio-1986 as a Multifunctional Antidiabetic Lead: SGLT1/2 Docking, Redox-Inflammatory Modulation and Metabolic Benefits in C57BL/6 Mice. | Pancreatic α-cell sodium-glucose cotransporter 1 (SGLT1) does not appear to contribute to hyperglucagonemia and glucose intolerance in diabetic mice.",41606929; 41596477; 41371691; 41317484; 41184395,2.0,1.0,1.0,4.0
